gene1,gene2,GI_scores
AARS2,AATF,0.360710432561
AARS2,ABCB7,-1.01123251866
AARS2,ACTL6A,-1.8645893545599996
AARS2,ACTR10,-0.0518150977319
AARS2,ADAT2,-0.287595059288
AARS2,ADPRM,1.0972714801
AARS2,AFG3L2,0.7402119458609999
AARS2,ANAPC13,-0.191209330647
AARS2,ANKZF1,-0.0700544354738
AARS2,APOOL,1.31429959423
AARS2,ARGLU1,-0.169624936479
AARS2,ARIH1,-0.674261758079
AARS2,ARL2,-0.0157415770738
AARS2,ASCC3,0.885198875389
AARS2,ASNA1,-0.44215682746699997
AARS2,ATP1A1,-1.78100892426
AARS2,ATP5A1,2.40776630949
AARS2,ATP5F1,2.2659265191299998
AARS2,ATP5J2,0.799236187674
AARS2,ATP6AP1,-0.705829009684
AARS2,ATP6V1G1,1.29986784386
AARS2,ATXN10,-0.7409019773029999
AARS2,AURKA,0.12011863379599999
AARS2,BDP1,-2.72255260875
AARS2,BNIP1,-0.733755879561
AARS2,BOD1L1,0.8676981626270001
AARS2,BTF3,-0.25203260265
AARS2,BUB1B,0.292172684615
AARS2,BUB3,-1.1452659503799998
AARS2,C11orf30,0.037380739941199996
AARS2,C14orf178,-0.984901886267
AARS2,C14orf2,0.7220773477339999
AARS2,C6orf203,-1.50807965254
AARS2,C9orf114,-0.47914067230499996
AARS2,CACTIN,-0.338648690044
AARS2,CAMLG,-1.80356513367
AARS2,CAPZB,-0.902742907003
AARS2,CARS,0.218139530019
AARS2,CARS2,2.12211834029
AARS2,CCDC84,-0.898817758284
AARS2,CCNK,0.226573677054
AARS2,CCT8,-0.374709951877
AARS2,CDC16,-0.505940624292
AARS2,CDC23,0.562484179091
AARS2,CDC26,0.23360934434500003
AARS2,CDC27,-1.6328642749899998
AARS2,CDC40,-0.46447588396899997
AARS2,CDC73,-1.03389848345
AARS2,CDCA8,-0.564436821743
AARS2,CDK1,0.177456472581
AARS2,CDK12,0.515671235638
AARS2,CENPK,-0.258627081199
AARS2,CENPM,-0.0998247859943
AARS2,CENPP,0.461767224741
AARS2,CENPW,-0.591272679147
AARS2,CEP152,-1.8889483230900002
AARS2,CEP192,-0.102995351352
AARS2,CEP63,0.177311195565
AARS2,CHMP2A,-1.40608816347
AARS2,CIRH1A,-0.172647321311
AARS2,CIT,-1.2707053133700001
AARS2,CKAP5,-0.9486642659110001
AARS2,CLSPN,0.0151928232311
AARS2,CMAS,-1.6112576682100002
AARS2,CNOT1,-1.30135886853
AARS2,COA3,0.15386156194800002
AARS2,COG3,-0.135622841517
AARS2,COPE,0.36018669889700006
AARS2,COPS2,-1.20233007412
AARS2,COPS4,-1.1022772115000001
AARS2,COPS5,0.38959252643200004
AARS2,COQ2,0.14529263387
AARS2,COX16,0.667912143318
AARS2,COX5A,1.01416540347
AARS2,COX6C,0.609221489152
AARS2,COX7C,2.18933022998
AARS2,CSTF3,-1.3032345541500001
AARS2,CTNNBL1,-0.329982514425
AARS2,CYB5B,-0.6285329112870001
AARS2,DAP3,2.2731403018000003
AARS2,DARS,-0.020489729194900004
AARS2,DCAF7,-1.32398843479
AARS2,DCTN2,-0.595687877502
AARS2,DCTN4,-0.0937701583961
AARS2,DDX18,-1.7123946184299998
AARS2,DDX46,-0.347284966212
AARS2,DHODH,-0.885366437752
AARS2,DHX37,-0.174034996552
AARS2,DICER1,0.508160717254
AARS2,DLST,1.33036503457
AARS2,DNA2,-0.362099993846
