gene1,gene2,GI_scores
AARS2,MRPL3,0.8678345568320001
AARS2,MRPL32,0.9541861940549999
AARS2,MRPL33,1.08216561109
AARS2,MRPL35,1.05416930431
AARS2,MRPL36,1.5243642919299998
AARS2,MRPL37,0.753635739431
AARS2,MRPL39,0.631707437225
AARS2,MRPL42,1.2071317932799999
AARS2,MRPL43,0.612777757244
AARS2,MRPL46,1.21175866415
AARS2,MRPS10,-0.13385593045
AARS2,MRPS11,0.765024918669
AARS2,MRPS14,-0.50769211961
AARS2,MRPS16,-0.347969497877
AARS2,MRPS18A,-0.152455392916
AARS2,MRPS18B,1.9248917477400003
AARS2,MRPS21,1.05269315859
AARS2,MRPS23,0.871914310898
AARS2,MRPS25,0.488894380076
AARS2,MRPS27,1.13861036985
AARS2,MRPS30,0.817907637652
AARS2,MRPS35,0.8718163194059999
AARS2,MRPS5,1.04630485046
AARS2,MRPS9,0.922161888262
AARS2,MTBP,-0.315915394101
AARS2,MTERFD1,0.13536881775499998
AARS2,MTHFD2,0.24576246380800001
AARS2,MTOR,0.0803015352395
AARS2,MTPAP,0.398083340895
AARS2,MZT1,-0.60059974348
AARS2,NAA25,0.11008543557099999
AARS2,NACA,0.603143707007
AARS2,NAMPT,-0.985263963135
AARS2,NAT10,-0.17418960867199998
AARS2,NCAPD2,-0.5882155303509999
AARS2,NCBP1,-0.623028776517
AARS2,NDUFA2,-0.450285810902
AARS2,NDUFA8,0.657973357958
AARS2,NDUFA9,2.2246606881099997
AARS2,NDUFB1,0.702008574215
AARS2,NDUFB2,1.14485519192
AARS2,NDUFB4,0.584535064782
AARS2,NEMF,-0.2737064245
AARS2,NFE2L1,0.312100541337
AARS2,NFYC,-0.158313409095
AARS2,NIP7,0.655741710852
AARS2,NOC2L,-0.117711302234
AARS2,NOL10,0.9142581270929999
AARS2,NOL9,-0.479390237578
AARS2,NOLC1,0.0722756262073
AARS2,NOP58,0.38124832091399996
AARS2,NSMCE1,0.5896448625399999
AARS2,NUBP1,0.400000436133
AARS2,NUDC,0.980744583961
AARS2,NUP43,0.161311387591
AARS2,NUP54,0.262610497122
AARS2,NUP85,-0.23160917522500002
AARS2,OGFOD1,1.5935013775600002
AARS2,OPA1,-0.532769745793
AARS2,ORAOV1,-0.376338973845
AARS2,PAXBP1,0.131010336117
AARS2,PDCD7,0.517534686342
AARS2,PDRG1,0.7231822231049999
AARS2,PDSS2,0.43744688474699994
AARS2,PET112,0.377955719706
AARS2,PFAS,0.240512208578
AARS2,PGD,-0.6269713736779999
AARS2,PGK1,-1.04498180903
AARS2,PITRM1,0.118111953609
AARS2,PMF1,-0.152108516185
AARS2,PNISR,-1.11486287664
AARS2,PNN,-0.682724489752
AARS2,POLA1,0.623325668196
AARS2,POLD1,-0.8055845261810001
AARS2,POLD3,-0.710612258175
AARS2,POLE,0.104916287972
AARS2,POLE2,0.261882793438
AARS2,POLN,0.8832417596109999
AARS2,POLR2B,0.16541106344599998
AARS2,POLR2K,0.295292774644
AARS2,POLR3A,0.28240174439
AARS2,POLR3B,-0.68984042522
AARS2,PPAT,0.791478264968
AARS2,PPCS,0.131735359045
AARS2,PPIE,-1.7164215507299998
AARS2,PPP2R1A,-0.176720591775
AARS2,PPP2R2A,1.5246433302000002
AARS2,PPWD1,-0.394494615119
AARS2,PRIM2,-0.628129443085
AARS2,PRMT5,-0.20168167965999997
AARS2,PSMB6,0.226664809216
AARS2,PSMB7,0.0188821402327
AARS2,PSMC1,-0.857739321251
AARS2,PSMC2,-0.0310571953654
AARS2,PSMD12,0.7575406062700001
AARS2,PSMD4,-0.280553282761
AARS2,PSMD6,0.287136582205
AARS2,PSPH,-0.064164172959
AARS2,PTCD1,0.7148550390170001
