ALOX12B,AIPL1
ALOX12B,ALDH3A1
ALOX15,ACADVL
ALOX15,AIPL1
ALOX15B,ACAP1
ALOX15B,AIPL1
ALOX15B,ALDH3A1
ALOX15B,ALOX12B
ALOXE3,ACADVL
ALOXE3,ACAP1
ALOXE3,ADORA2B
ALOXE3,AIPL1
ALOXE3,ALDH3A1
ALOXE3,ALOX12B
ALOXE3,ALOX15B
ALPL,ALDH4A1
ALX3,AGBL4
ALX4,ACCS
ALX4,ACCSL
ALX4,ALKBH3
AMACR,AGXT2
AMBN,ABRAXAS1
AMBN,ADH5
AMBN,ALB
AMD1,ADSL
AMD1,ADSS
AMD1,AHCY
AMDHD2,AHSP
AMFR,ADGRG1
AMH,ACER1
AMH,ACSBG2
AMHR2,ADCY6
AMIGO1,ALG1
AMIGO3,ACY1
AMOT,AKAP14
AMOTL2,AGAP1
AMOTL2,AJUBA
AMPD2,ABCD3
AMPD2,AKNAD1
AMPD2,ALX3
AMPD2,AMIGO1
AMPD3,AKIP1
AMPH,AEBP1
AMTN,ADAMTS3
AMTN,AMBN
AMZ1,AEBP1
ANAPC10,ABCE1
ANAPC10,ANAPC1
ANAPC15,ACTR1A
ANAPC15,ANAPC13
ANAPC2,ANAPC11
ANAPC4,ABCG1
ANAPC4,ANAPC15
ANAPC5,ANAPC13
ANAPC5,ANAPC15
ANAPC7,ACACB
ANG,ADCY4
ANG,AJUBA
ANG,AKAP6
ANGPTL6,ACTL9
ANGPTL6,ADAMTS10
ANGPTL6,ADGRE1
ANGPTL6,ADGRE5
ANGPTL6,ADGRL1
ANGPTL7,AADACL3
ANGPTL7,AGTRAP
ANGPTL8,ABHD8
ANGPTL8,ACP5
ANGPTL8,ACTL9
ANGPTL8,ADAMTS10
ANGPTL8,ADGRE2
ANGPTL8,ADGRE3
ANGPTL8,ADGRL1
ANGPTL8,AKAP8
ANGPTL8,AMH
ANHX,ACR
ANK1,ADAM18
ANK1,ADAM2
ANK1,ADAM32
ANK1,ADAM9
ANK1,ADGRA2
ANK1,ADRB3
ANK3,A1CF
ANKEF1,ABHD12
ANKEF1,ACSS1
ANKFN1,ACSF2
ANKLE1,ABHD8
ANKLE1,ACP5
ANKLE1,ACTL9
ANKLE1,ADAMTS10
ANKLE1,ADGRE2
ANKLE1,ADGRE5
ANKLE1,AKAP8
ANKLE1,AKAP8L
ANKLE1,ANGPTL6
ANKLE1,ANGPTL8
ANKMY2,AGR2
ANKMY2,AGR3
ANKMY2,AHR
ANKRD13A,ACACB
ANKRD13B,ABHD15
ANKRD13B,ALDOC
ANKRD13D,ACY3
ANKRD13D,ALDH3B2
ANKRD18A,ALDH1B1
ANKRD22,ACTA2
ANKRD22,ADIRF
ANKRD24,ACP5
ANKRD24,ACSBG2
ANKRD24,ACTL9
ANKRD24,ADAMTS10
ANKRD24,ADGRE1
ANKRD24,ADGRE2
ANKRD24,ADGRE5
ANKRD24,ANGPTL8
ANKRD27,ACP7
ANKRD27,ALKBH6
ANKRD33,ACVR1B
ANKRD33,ACVRL1
ANKRD33,ADAMTS20
ANKRD33,ADCY6
ANKRD33,AGAP2
ANKRD34C,ADAL
ANKRD35,ADAMTSL4
ANKRD35,ANKRD34A
ANKRD39,ACOXL
ANKRD39,ANKRD23
